school_name,state,city,control,level,enrollment,has_ia_program,ia_program_name,ia_cost_model,ia_price,ia_opt_out,bookstore_partner,publishers_platforms,oer_program,source_url,source_type,verification_date,confidence,notes
Alaska Bible College,AK,,private_nonprofit,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Alaska Career College,AK,,private_forprofit,2-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Alaska Christian College,AK,,private_nonprofit,2-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Alaska Pacific University,AK,,private_nonprofit,4-year,0,no,N/A,traditional purchase,,unknown,University bookstore,Various,unknown,https://alaskapacific.edu,,2026-03-09,likely,No formal IA found. Small private university.
Charter College,AK,,private_forprofit,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
Ilisagvik College,AK,,public,4-year,0,no,N/A,traditional purchase; small/specialty institution,,unknown,Various / N/A,Various,unknown,,,,unverified,Small/specialty/private institution. No formal inclusive access program found.
University of Alaska Anchorage,AK,,public,4-year,0,yes,Inclusive Access (fka Day-One-Digital),per-course; digital day 1; discounted; auto-enrolled; 14-day opt-out; charged to account,,unknown,UAA Bookstore / BibliU,Various; BibliU; digital,unknown,https://uaa.alaska.edu; https://bibliu.com,,2026-03-09,likely,Inclusive Access fka Day-One-Digital. Per-course. Digital day 1. Discounted. Auto-enrolled. 14-day opt-out. Also at Kenai Peninsula and Prince William Sound colleges.
University of Alaska Fairbanks,AK,,public,4-year,0,yes,UAF Bookstore Bundle,$20/credit hour flat fee; auto-enrolled; all materials (rent/digital/access codes) day 1; opt-out,,unknown,UAF Bookstore,Various; rental + digital + access codes,unknown,https://uaf.edu,,2026-03-09,likely,UAF Bookstore Bundle Fall 2024. $20/cr hr flat. Auto-enrolled. Rent + digital + access codes + e-books. Day 1. Opt-out.
University of Alaska Southeast,AK,,public,4-year,0,no,N/A,oer / alt-textbook project; free materials,,unknown,Campus resources,OER; library loans,unknown,https://uas.alaska.edu,,2026-03-09,likely,No formal IA. Alt-Textbook Project + OER. Free materials via library loans. Focus on zero-cost materials rather than discounted IA.
Alabama A & M University,AL,,public,4-year,0,yes,Bulldog Digital Access Program,flat fee (12+ cr) or per-cr (part-time); 1st/2nd year courses; digital day 1; follett partnership; auto-charged; opt-out via follett portal (all or nothing),,unknown,Follett,Various; Follett digital,unknown,https://aamu.edu,,2026-03-09,likely,AAMU: Bulldog Digital Access. Follett partnership. Flat fee 12+ cr or per-cr. 1st/2nd year. All-or-nothing opt-out via Follett.
Alabama College of Osteopathic Medicine,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://acom.edu/bookstore,,2026-03-09,likely,
Alabama State University,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://alasu.edu/hornet-access; https://bncollege.com,,2026-03-09,likely,
Amridge University,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://amridgeuniversity.edu; https://bkstr.com,,2026-03-09,likely,
Athens State University,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://athens.edu; https://bkstr.com/athensstatebookstore,,2026-03-09,likely,
Auburn University,AL,,public,4-year,0,yes,All Access (one of largest IA programs in US),per-course; digital day 1; auto-enrolled; charged on e-bill first billing cycle; opt-out by 15th class day; one of largest ia programs in us,,unknown,AU Bookstore,Various; digital,unknown,https://aubookstore.com; https://auburn.edu,,2026-03-09,likely,Auburn: All Access. One of largest IA programs in US. Auto-enrolled. Charged on e-bill. Opt-out by 15th day.
Auburn University at Montgomery,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://aum.bncollege.com; https://aum.edu,,2026-03-09,likely,
Bevill State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://bscc.edu; https://bkstr.com/bevillstatebookstore,,2026-03-09,likely,
Birmingham-Southern College,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://bsc.edu; https://bkstr.com,,2026-03-09,likely,
Bishop State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://bishop.edu; https://bkstr.com/bishopstatebookstore,,2026-03-09,likely,
Cardiac and Vascular Institute of Ultrasound,AL,,private_forprofit,2-year,0,,,unknown,,unknown,,,unknown,https://cvius.com,,2026-03-09,likely,
Central Alabama Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://cacc.edu; https://bkstr.com/centralalabamabookstore,,2026-03-09,likely,
Chattahoochee Valley Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://cv.edu; https://bkstr.com,,2026-03-09,likely,
Coastal Alabama Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://coastalalabama.edu; https://bkstr.com,,2026-03-09,likely,
Columbia College - Redstone Arsenal,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://ccis.edu,,2026-03-09,likely,
Columbia Southern University,AL,,private_forprofit,4-year,0,,,unknown,,unknown,,,unknown,https://columbiasouthern.edu,,2026-03-09,likely,
Enterprise State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://escc.edu; https://bkstr.com,,2026-03-09,likely,
Faulkner University,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://faulkner.edu; https://bkstr.com/faulknerbookstore,,2026-03-09,likely,
Fortis Institute-Birmingham,AL,,private_forprofit,2-year,0,,,unknown,,unknown,,,unknown,https://fortis.edu,,2026-03-09,likely,
Gadsden State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://gadsdenstate.edu; https://bkstr.com,,2026-03-09,likely,
George C Wallace Community College-Dothan,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://wallace.edu; https://bkstr.com,,2026-03-09,likely,
George C Wallace State Community College-Hanceville,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://wallacestate.edu; https://bkstr.com,,2026-03-09,likely,
George C Wallace State Community College-Selma,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://wccs.edu; https://bkstr.com,,2026-03-09,likely,
H Councill Trenholm State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://trenholmstate.edu; https://bkstr.com,,2026-03-09,likely,
Heritage Christian University,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://hcu.edu,,2026-03-09,likely,
Herzing University-Birmingham,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://herzing.edu,,2026-03-09,likely,
Huntingdon College,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://huntingdon.edu; https://bkstr.com,,2026-03-09,likely,
Huntsville Bible College,AL,,private_nonprofit,4-year,0,,,unknown,,unknown,,,unknown,https://huntsvillebiblecollege.com,,2026-03-09,likely,
J. F. Drake State Community and Technical College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://drakestate.edu; https://bkstr.com,,2026-03-09,likely,
Jacksonville State University,AL,,public,4-year,0,,,unknown,,unknown,,,unknown,https://jsu.edu; https://bncollege.com/jsu,,2026-03-09,likely,
Jefferson State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://jeffersonstate.edu; https://bkstr.com,,2026-03-09,likely,
John C Calhoun State Community College,AL,,public,2-year,0,,,unknown,,unknown,,,unknown,https://calhoun.edu; https://bkstr.com,,2026-03-09,likely,
